,city,max_temp,humidity,wind_speed,lat,lng,country,date
530,Ayagoz,76.55,37,11.07,47.9714,80.4392,KZ,1628685249
531,Numan,90.81,51,11.68,9.4667,12.0333,NG,1628685250
532,Ulaangom,76.12,43,11.74,49.9811,92.0667,MN,1628685250
533,Yuncheng,80.82,70,6.15,35.0231,110.9928,CN,1628685251
534,Daru,77.14,88,17.38,-9.0763,143.2092,PG,1628685252
535,Tyrma,55.74,76,0.69,50.0833,132.1667,RU,1628685253
536,Nola,96.69,23,9.28,40.922,14.5329,IT,1628685253
537,Šurany,85.73,37,13.76,48.0861,18.1845,SK,1628685254
538,Kon Tum,73.62,95,1.5,14.35,108.0,VN,1628685171
539,Alamogordo,66.56,87,0.0,32.8995,-105.9603,US,1628685255
540,Grand Baie,75.45,76,4.0,-20.0182,57.5802,MU,1628685256
541,Abu Samrah,96.37,18,8.05,35.3029,37.1841,SY,1628685256
542,Puerto Ayacucho,75.51,80,2.13,5.6639,-67.6236,VE,1628685256
543,Goderich,70.23,94,9.22,43.7501,-81.7165,CA,1628685257
544,Riyadh,111.34,7,14.27,24.6877,46.7219,SA,1628685013
545,Banda Aceh,78.46,79,13.49,5.5577,95.3222,ID,1628685257
546,Leeton,52.29,76,6.91,-34.5667,146.4,AU,1628685258
547,Alofi,71.49,94,13.8,-19.0595,-169.9187,NU,1628685258
548,Joshīmath,76.68,87,3.44,30.5667,79.5667,IN,1628685258
549,Samaná,75.42,100,9.22,19.2056,-69.3369,DO,1628685259
550,Dongsheng,73.94,27,3.67,39.8161,109.9776,CN,1628685259
551,Kalmar,70.32,68,11.5,56.6616,16.3616,SE,1628685036
552,Saint-Pierre,72.55,84,14.97,-21.3393,55.4781,RE,1628685259
553,Lufilufi,80.69,72,19.48,-13.8745,-171.5986,WS,1628685260
554,Geraldton,50.41,87,3.44,-28.7667,114.6,AU,1628685260
555,Bilma,104.59,21,13.31,18.6853,12.9164,NE,1628685261
556,Beşikdüzü,76.89,75,3.22,41.052,39.2284,TR,1628685261
557,Grand Gaube,75.38,76,4.0,-20.0064,57.6608,MU,1628685262
558,Numāligarh,84.92,89,4.21,26.6333,93.75,IN,1628685262
559,Okha,53.35,84,8.99,53.5739,142.9478,RU,1628685262
560,Carmona,80.51,79,4.61,14.3,121.0167,PH,1628685262
561,Beaverlodge,60.15,59,13.31,55.2166,-119.4361,CA,1628685263
562,Dargaville,50.38,90,4.18,-35.9333,173.8833,NZ,1628685263
563,Sassandra,81.18,71,9.95,4.95,-6.0833,CI,1628685263
564,Saint John,64.74,99,8.05,45.2727,-66.0677,CA,1628685264
565,Myaundzha,62.53,50,3.13,63.0494,147.1858,RU,1628685264
566,Coolum Beach,62.02,90,3.42,-26.5333,153.1,AU,1628685264
567,Hamilton,77.22,93,5.75,39.1834,-84.5333,US,1628685265
568,Vuktyl,72.55,40,6.85,63.8567,57.3094,RU,1628685265
569,Derzhavīnsk,65.44,52,15.14,51.1,66.3167,KZ,1628685265
570,Richmond,75.02,90,3.0,37.5538,-77.4603,US,1628685265
571,Rome,74.97,89,5.75,43.2128,-75.4557,US,1628685266
